@relation 'cluster-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.Remove-R15-17-weka.filters.unsupervised.attribute.Remove-R2-4,6-9'

@attribute onBoltRate numeric
@attribute workers numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric

@data
98950,40,27,32,1,70,10
187049,62,26,15,31,63,7
230316,57,23,30,16,84,12
155119,30,7,7,2,36,12
120931,7,21,9,2,44,11
15344,17,21,7,27,108,12
199808,25,31,14,4,65,13
189587,62,5,19,29,80,8
123052,16,35,33,16,84,21
70742,8,29,33,15,60,6
191934,94,6,35,12,90,15
198511,94,17,18,9,56,14
203783,85,7,30,7,105,15
224591,68,28,31,24,80,16
175007,91,24,25,4,56,14
202938,84,18,27,6,32,8
244864,56,26,32,8,45,5
161583,43,14,9,16,84,14
192808,32,5,29,13,110,11
101965,8,30,32,7,63,9
61146,6,28,17,9,65,13
201344,90,15,21,11,54,6
187159,71,34,15,6,88,11
212043,49,14,12,17,64,8
143915,36,22,16,14,110,11
130352,55,7,4,5,80,20
27380,88,22,4,21,56,8
208050,64,4,22,10,56,14
53781,10,7,31,13,115,23
189119,65,11,18,7,80,8
183068,43,28,21,5,108,36
36408,11,33,13,26,80,8
251949,50,10,29,30,30,5
129277,75,8,12,2,88,11
246565,62,15,17,15,40,5
88058,55,18,25,1,57,19
219611,61,26,19,24,70,10
184967,93,7,34,30,64,8
153160,36,33,4,9,32,4
71934,7,34,21,20,40,5
240353,51,29,34,20,84,12
66459,8,25,27,17,78,26
161197,77,26,20,3,36,6
693,4,30,7,23,49,7
212820,87,27,29,11,56,8
151269,96,24,32,3,30,3
217946,70,11,10,10,30,3
153696,19,9,15,17,78,13
129970,6,34,9,4,33,11
203402,20,20,8,31,36,9
187689,38,35,33,4,91,13
173128,64,18,12,16,77,11
177140,15,15,24,28,42,14
85306,11,27,9,13,68,17
85102,87,30,5,22,104,26
75162,7,6,24,3,90,30
207637,35,9,8,29,42,14
108822,21,26,16,23,105,15
254598,20,24,33,12,30,5
141349,21,9,21,23,99,11
206212,79,33,25,20,96,16
