% cluster ARFF file
@relation cluster

@attribute onBoltRate numeric
@attribute joinBoltRate numeric
@attribute spoutRate numeric
@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data
20455,9325,20057,4,96,192,49,4,2,4,16,14,99,11,30,55711,470
42692,17796,42266,4,96,192,49,4,2,4,16,14,99,11,34,55403,421
62890,26686,62428,4,96,192,49,4,2,4,16,14,99,11,46,55826,470
82502,34939,81823,4,96,192,49,4,2,4,16,14,99,11,54,57042,426
223411,100589,224168,4,96,192,25,4,2,18,31,27,36,4,88,33014,4228
38236,16378,36896,4,96,192,25,4,2,18,31,27,36,4,32,32996,514
69361,29474,69022,4,96,192,25,4,2,18,31,27,36,4,43,33198,504
101809,43560,101462,4,96,192,25,4,2,18,31,27,36,4,54,33514,529
132952,58302,132784,4,96,192,25,4,2,18,31,27,36,4,63,33703,516
239560,107670,240263,4,96,192,15,4,2,28,26,16,35,5,82,22880,2176
39591,16929,39763,4,96,192,15,4,2,28,26,16,35,5,29,22695,350
72644,31110,73051,4,96,192,15,4,2,28,26,16,35,5,39,22876,336
105642,45159,106022,4,96,192,15,4,2,28,26,16,35,5,50,23115,335
131231,56264,131938,4,96,192,15,4,2,28,26,16,35,5,54,23199,919
223771,103246,224813,4,96,192,73,4,2,28,31,24,64,16,94,69976,3478
38874,16055,37749,4,96,192,73,4,2,28,31,24,64,16,43,76044,699
67379,28296,67651,4,96,192,73,4,2,28,31,24,64,16,60,75976,634
97001,40719,97359,4,96,192,73,4,2,28,31,24,64,16,69,76717,620
124806,53010,125087,4,96,192,73,4,2,28,31,24,64,16,75,77637,655
184966,81200,183475,4,96,192,88,4,2,18,13,12,100,20,93,74261,2159
30351,12020,30560,4,96,192,88,4,2,18,13,12,100,20,39,82497,505
52653,20245,52953,4,96,192,88,4,2,18,13,12,100,20,53,81802,422
75446,29564,75653,4,96,192,88,4,2,18,13,12,100,20,65,81389,407
95672,37433,95889,4,96,192,88,4,2,18,13,12,100,20,71,82025,427
146915,66670,147648,4,96,192,15,4,2,30,9,24,45,9,77,22425,4829
23143,10943,22402,4,96,192,15,4,2,30,9,24,45,9,22,22085,428
43960,19349,44026,4,96,192,15,4,2,30,9,24,45,9,29,22367,453
67223,29550,67327,4,96,192,15,4,2,30,9,24,45,9,38,22692,418
87180,38116,87377,4,96,192,15,4,2,30,9,24,45,9,45,22788,473
244274,113656,243475,4,96,192,43,4,2,25,22,21,50,10,93,50319,2642
41299,17768,41086,4,96,192,43,4,2,25,22,21,50,10,39,52290,541
73822,31969,73959,4,96,192,43,4,2,25,22,21,50,10,53,52339,482
107249,46730,107387,4,96,192,43,4,2,25,22,21,50,10,64,52907,445
138400,59558,138542,4,96,192,43,4,2,25,22,21,50,10,71,53482,488
227302,104966,256663,4,96,192,41,4,2,28,21,26,52,13,90,47413,2791
134613,56447,172702,4,96,192,42,4,2,5,8,27,90,18,90,48837,8277
55994,17219,28333,4,96,192,42,4,2,5,8,27,90,18,43,50131,726
52502,20870,49034,4,96,192,42,4,2,5,8,27,90,18,40,50207,552
69086,28852,69825,4,96,192,42,4,2,5,8,27,90,18,48,50892,582
95711,40048,94178,4,96,192,42,4,2,5,8,27,90,18,58,51373,674
111916,50854,110794,4,96,192,67,4,2,22,7,17,104,13,86,64281,3337
18664,8406,18561,4,96,192,67,4,2,22,7,17,104,13,29,69328,599
33500,13875,33675,4,96,192,67,4,2,22,7,17,104,13,36,68125,548
49768,20133,49899,4,96,192,67,4,2,22,7,17,104,13,48,70126,525
65523,26555,65715,4,96,192,67,4,2,22,7,17,104,13,56,71762,485
253498,116302,255064,4,96,192,57,4,2,26,11,15,35,5,93,56677,1832
42139,17996,41909,4,96,192,57,4,2,26,11,15,35,5,42,59331,501
73818,31492,74379,4,96,192,57,4,2,26,11,15,35,5,56,59421,404
105440,44866,106087,4,96,192,57,4,2,26,11,15,35,5,67,60182,424
133597,57050,134253,4,96,192,57,4,2,26,11,15,35,5,73,60797,506
207563,98638,206592,4,96,192,45,4,2,8,23,23,107,21,92,51917,3803
37026,15492,34962,4,96,192,45,4,2,8,23,23,107,21,36,53460,572
63178,26416,62639,4,96,192,45,4,2,8,23,23,107,21,48,53292,532
92225,38760,91690,4,96,192,45,4,2,8,23,23,107,21,60,53695,512
118370,50864,117943,4,96,192,45,4,2,8,23,23,107,21,66,54540,551
180179,80805,180700,4,96,192,88,4,2,31,12,24,48,6,92,84867,4236
30299,13606,30048,4,96,192,88,4,2,31,12,24,48,6,42,91866,710
53318,22404,53582,4,96,192,88,4,2,31,12,24,48,6,57,91195,661
78470,32639,78700,4,96,192,88,4,2,31,12,24,48,6,68,92721,638
101549,42601,101874,4,96,192,88,4,2,31,12,24,48,6,73,94537,654
243924,113941,244037,4,96,192,39,4,2,27,23,31,56,14,91,48194,4340
42344,18497,40961,4,96,192,39,4,2,27,23,31,56,14,40,48795,658
75191,32099,75114,4,96,192,39,4,2,27,23,31,56,14,54,49077,633
109297,46836,109272,4,96,192,39,4,2,27,23,31,56,14,64,49580,600
143662,61653,143687,4,96,192,39,4,2,27,23,31,56,14,72,49824,610
184557,93417,182971,4,96,192,72,4,2,5,14,5,105,21,90,56920,605
31205,12763,30730,4,96,192,72,4,2,5,14,5,105,21,33,63154,247
50727,21152,50762,4,96,192,72,4,2,5,14,5,105,21,43,62375,191
71159,30245,71145,4,96,192,72,4,2,5,14,5,105,21,54,62081,198
88043,37610,88231,4,96,192,72,4,2,5,14,5,105,21,62,63016,200
161428,74943,163167,4,96,192,29,4,2,15,7,6,45,5,81,31352,927
27289,11307,27299,4,96,192,29,4,2,15,7,6,45,5,24,32592,245
47326,19941,47736,4,96,192,29,4,2,15,7,6,45,5,34,32507,153
68255,28691,68661,4,96,192,29,4,2,15,7,6,45,5,43,33072,152
86618,36588,87101,4,96,192,29,4,2,15,7,6,45,5,50,33520,155
171265,86061,173836,4,96,192,21,4,2,24,21,6,90,9,84,28113,768
27995,12322,28433,4,96,192,21,4,2,24,21,6,90,9,26,28450,154
206991,91812,207181,4,96,192,69,4,2,12,30,30,60,10,94,72078,4764
37139,14964,34496,4,96,192,69,4,2,12,30,30,60,10,40,78076,697
61640,24615,60987,4,96,192,69,4,2,12,30,30,60,10,55,77754,680
90401,36495,89818,4,96,192,69,4,2,12,30,30,60,10,66,78479,668
117749,47905,117161,4,96,192,69,4,2,12,30,30,60,10,73,79204,693
160601,68337,163210,4,96,192,91,4,2,15,21,27,45,15,94,81244,5316
29166,12046,27093,4,96,192,91,4,2,15,21,27,45,15,38,96561,713
48491,19910,48069,4,96,192,91,4,2,15,21,27,45,15,52,96038,695
71115,29409,70666,4,96,192,91,4,2,15,21,27,45,15,64,98029,669
91530,37947,91091,4,96,192,91,4,2,15,21,27,45,15,71,99905,667
47755,21105,48814,4,96,192,5,4,2,31,24,8,102,17,48,11305,10955
7864,3466,8449,4,96,192,5,4,2,31,24,8,102,17,8,11082,259
15457,6580,15812,4,96,192,5,4,2,31,24,8,102,17,9,11262,211
22992,9964,23582,4,96,192,5,4,2,31,24,8,102,17,12,11409,255
29766,13197,30489,4,96,192,5,4,2,31,24,8,102,17,15,11461,313
216777,96037,215125,4,96,192,54,4,2,6,31,20,84,12,91,59447,3058
37957,14426,36149,4,96,192,54,4,2,6,31,20,84,12,36,63143,543
64708,24741,64198,4,96,192,54,4,2,6,31,20,84,12,49,62436,506
94902,37110,94416,4,96,192,54,4,2,6,31,20,84,12,60,62936,468
121995,48847,121349,4,96,192,54,4,2,6,31,20,84,12,68,63712,487
153569,62746,152988,4,96,192,88,4,2,7,7,17,84,12,93,74898,4419
26347,10095,25414,4,96,192,88,4,2,7,7,17,84,12,34,82847,602
44630,16217,44316,4,96,192,88,4,2,7,7,17,84,12,43,82495,562
