% throughput ARFF file
@relation throughput

@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute throughput numeric

@data
4,96,192,11,4,2,18,9,32,27,3,92570
4,96,192,18,4,2,21,6,15,72,8,109867
4,96,192,59,4,2,5,7,8,65,13,180540
4,96,192,29,4,2,29,11,5,56,7,200945
4,96,192,27,4,2,9,12,19,112,16,136339
4,96,192,37,4,2,30,23,23,30,3,224322
4,96,192,5,4,2,32,32,32,65,13,7944
4,96,192,7,4,2,19,26,9,65,13,97539
4,96,192,7,4,2,22,18,21,105,15,38811
4,96,192,48,4,2,10,6,28,36,4,221582
4,96,192,53,4,2,9,9,7,108,27,161140
4,96,192,87,4,2,6,6,15,63,21,177047
4,96,192,91,4,2,10,13,13,32,4,174755
4,96,192,84,4,2,4,26,9,80,16,192341
4,96,192,56,4,2,7,12,31,105,21,173999
4,96,192,93,4,2,26,16,31,112,14,159861
4,96,192,39,4,2,8,5,16,40,4,193685
4,96,192,86,4,2,16,32,19,72,24,221183
4,96,192,79,4,2,26,31,16,72,12,213075
4,96,192,55,4,2,8,21,8,63,7,230076
4,96,192,57,4,2,25,21,25,90,10,202409
4,96,192,61,4,2,28,21,26,114,19,182382
4,96,192,15,4,2,11,15,29,63,7,141063
4,96,192,36,4,2,31,26,15,35,5,296516
4,96,192,35,4,2,17,31,16,49,7,288795
4,96,192,93,4,2,27,24,21,98,14,157291
4,96,192,24,4,2,19,4,14,30,10,158275
4,96,192,43,4,2,13,13,24,60,6,158962
4,96,192,32,4,2,19,9,4,55,11,178179
4,96,192,4,4,2,29,30,21,85,17,14863
4,96,192,20,4,2,23,18,11,40,5,246678
4,96,192,16,4,2,31,25,24,63,7,141747
4,96,192,37,4,2,19,32,13,108,27,259215
4,96,192,35,4,2,8,26,32,40,5,216062
4,96,192,65,4,2,13,18,18,108,18,174762
4,96,192,6,4,2,14,7,4,108,12,46549
4,96,192,44,4,2,19,25,14,112,14,187401
4,96,192,71,4,2,8,27,6,90,9,210288
